id,code,name,user_type_id:id,group_id:id,reconcile,chart_template_id:id
205001,205001,ammortamenti imm.immateriali,account.data_account_type_depreciation,205,FALSE,l10n_chart_it_cdo
205002,205002,ammortamenti imm.materiali,account.data_account_type_depreciation,205,FALSE,l10n_chart_it_cdo
206001,206001,quote associative ad enti terzi,account.data_account_type_expenses,206,FALSE,l10n_chart_it_cdo
206002,206002,liberalità,account.data_account_type_expenses,206,FALSE,l10n_chart_it_cdo
206003,206003,abbuoni passivi,account.data_account_type_expenses,206,FALSE,l10n_chart_it_cdo
206004,206004,spese di vitto alloggio e viaggi,account.data_account_type_expenses,206,FALSE,l10n_chart_it_cdo
206005,206005,oneri bancari,account.data_account_type_expenses,206,FALSE,l10n_chart_it_cdo
206006,206006,sanzioni e ammende,account.data_account_type_expenses,206,FALSE,l10n_chart_it_cdo
206007,206007,minusvalenze,account.data_account_type_expenses,206,FALSE,l10n_chart_it_cdo
206008,206008,abbonamenti e acquisto libri,account.data_account_type_expenses,206,FALSE,l10n_chart_it_cdo
206009,206009,omaggi e spese di rappresentanza,account.data_account_type_expenses,206,FALSE,l10n_chart_it_cdo
206010,206010,sopravvenienze passive,account.data_account_type_expenses,206,FALSE,l10n_chart_it_cdo
206011,206011,"partecipazione corsi, eventi ecc.",account.data_account_type_expenses,206,FALSE,l10n_chart_it_cdo
206012,206012,spese diverse,account.data_account_type_expenses,206,FALSE,l10n_chart_it_cdo
206013,206013,spese vitto e alloggio per convegni istituzionali e corsi,account.data_account_type_expenses,206,FALSE,l10n_chart_it_cdo
206100,206100,perdite su crediti,account.data_account_type_expenses,206,FALSE,l10n_chart_it_cdo
211001,211001,interessi passivi su cc,account.data_account_type_expenses,211,FALSE,l10n_chart_it_cdo
212001,212001,interessi passivi su prestiti,account.data_account_type_expenses,212,FALSE,l10n_chart_it_cdo
213001,213001,oneri straordinari,account.data_account_type_expenses,213,FALSE,l10n_chart_it_cdo
221001,221001,ires,account.data_account_type_expenses,221,FALSE,l10n_chart_it_cdo
221002,221002,irap,account.data_account_type_expenses,221,FALSE,l10n_chart_it_cdo
221003,221003,Inail,account.data_account_type_expenses,221,FALSE,l10n_chart_it_cdo
301001,301001,da contributi da progetti finanziati,account.data_account_type_revenue,301,FALSE,l10n_chart_it_cdo
302001,302001,da contratti con enti pubblici,account.data_account_type_revenue,302,FALSE,l10n_chart_it_cdo
303001,303001,quote associative,account.data_account_type_revenue,303,FALSE,l10n_chart_it_cdo
304001,304001,servizi ai soci,account.data_account_type_revenue,304,FALSE,l10n_chart_it_cdo
305001,305001,servizi ai non soci,account.data_account_type_revenue,305,FALSE,l10n_chart_it_cdo
306001,306001,altri proventi e ricavi,account.data_account_type_revenue,306,FALSE,l10n_chart_it_cdo
306002,306002,abbuoni attivi,account.data_account_type_revenue,306,FALSE,l10n_chart_it_cdo
311001,311001,da gestioni commerciali accessorie,account.data_account_type_revenue,311,FALSE,l10n_chart_it_cdo
311002,311002,vendita pubblicazioni e altro,account.data_account_type_revenue,311,FALSE,l10n_chart_it_cdo
311100,311100,iva ricavo 50%,account.data_account_type_revenue,311,FALSE,l10n_chart_it_cdo
321001,321001,interessi attivi su cc,account.data_account_type_revenue,321,FALSE,l10n_chart_it_cdo
322001,322001,interesi su titoli,account.data_account_type_revenue,322,FALSE,l10n_chart_it_cdo
331001,331001,proventi straordinari,account.data_account_type_revenue,331,FALSE,l10n_chart_it_cdo
331002,331002,sopravvenienze attive,account.data_account_type_revenue,331,FALSE,l10n_chart_it_cdo
991001,991001,Stato Patrimoniale iniziale,account.data_account_type_non_current_liabilities,991,FALSE,l10n_chart_it_cdo
991002,991002,Stato Patrimoniale finale,account.data_account_type_non_current_liabilities,991,FALSE,l10n_chart_it_cdo
991003,991003,Profitti e Perdite,account.data_unaffected_earnings,991,FALSE,l10n_chart_it_cdo
